,sentence,category_targets
7565,Если бы я знала что он оказывается еще заявку 31 мая подал и банк уже сразу отказал!,0
7568,"Вот тут я и не знаю, то ли оператор меня обманула, когда подписывала меня на услугу, то ли правда они тарифы и условия меняют каждый месяц кардинально и при этом не уведомляют клиентов.",2
7569,Даже не выдают мне эти деньги в кассе по паспорту.,0
7570,"Ничего до сих пор не вернули, сроки не дают.",2
7572,Такого ужасного отношения я от Вашего банка не ожидал .,0
7575,"(Можно сразу же после активации карты спросить о подключенных платных услугах)По всем вопросам был дан чёткий и уверенный ответ, за что Екатерина заслуженно получила от меня 5 баллов в смс-отзыве.",0
7576,"Никаких информационных «бумажек» на банкомате «дескать не работает на приём», никаких внутренних заявок на ремонт или хотя бы удаленное приостановление работы... ничего... видимо им нравится регулярные скандалы... Да и к сотрудникам тех.служб тот же вопрос -  тот факт, что один и тот же банкомат регулярно «съедает» деньги видимо их никак не насторожил.",0
7577,"Карту не оформляла, согласие на ее изготовление не давала, мне она не нужна, и вообще никакие кредитные продукты не нужны!",0
7580,"Анна, благодарю Вас за прекрасные впечатления, которые Вы оставили от посещения вашего офиса, за корректность, профессионализм, терпение и Вашу настойчивость (впервые открыл для себя инвестиции).",2
7581,"Полина была растерянна и говорила о том, что единственный сотрудник, который мог дальше работать с программой, уволился, что она может только выдать деньги, а продлить жизнь моей чипованной подруге не может - нет квалификации.",0
7583,"Опять оплатить кредит невозможно, каждый раз в этом банке не работает банкомат, платежи через терминал и операциониста в самом филиале банка с комиссией.",0
7589,"Одни звонят и достаточно корректно разговаривают, на что получают тактичный и корректный ответ, другие звонят с требовательным тоном и надменным тоном - получают такой же ответ. Вчера позвонила девушка представилась Оксаной Сергеевной.",0
7590,Никакой клиентоориентированности!!!,2
7590,Никакой клиентоориентированности!!!,0
7591,СПАСИБО СБЕРБАНК ЗА ОТЛИЧНОЕ НАЧАЛО 2021 ГОДА,2
7592,"Заканчивался ответ крайне неуважительной фразой: ""Рекомендуем Вам ждать"".",0
7593,"За профессионализм, терпение, инициативность, желание помочь и разобрать все вопросы более подробно, и найти на них нужные решение.",2
7593,"За профессионализм, терпение, инициативность, желание помочь и разобрать все вопросы более подробно, и найти на них нужные решение.",0
7596,"Я же уточнял по телефону и мне сказали, что все в порядке.",0
7597,"Мало того ,что сотрудники не слышат вопросов,они их не решают ,перебивают и хамят.",0
7600,"Прошло 30 дней и смс от Росреестра я не получал, запись об обременении на погашена, а на мои звонки по прежнему перелагали создать запрос на которой мне естественно никто не ответит.",0
7603,"Я заявляю, что моего согласия консультант З-ва не спрашивала и навязала втихую данную услугу, совершив, фактически мошенническое действие.",0
7605,"Теперь у меня есть кусочек пластика на память о ""качественном"" сервисе банка.",2
7606,"Я пытаюсь уже неделю, в отделениях был четыре раза, на горячую линию звонил раз пять.",2
7606,"Я пытаюсь уже неделю, в отделениях был четыре раза, на горячую линию звонил раз пять.",0
7607,"Уже в течение очень долгого времени на мой домашний телефон поступают звонки по десять раз на дню с требованием разыскать и дать информацию о контактах и месте нахождения человека, который взял у вас кредит и которого я в помине не знаю, 2 года назад я звонила в департамент по работе с проблемными кредитами с просьбой ещё тогда исключить мой номер и мои контактные данные из вашей базы, дабы не получать ваши назойливые требовательные звонки с требованием кого-то разыскать, я не база потерянных людей и не служба розыска ваших неблагополучных клиентов, а уж тем более не за спасибо и не за бесплатно.",0
7616,В результате банк просто напросто меня обманул.,0
7618,"Никакой информации до сих пор нет, сотрудники банка в офисе на все вопросы разводят руками, даже не знаю кто занимается данным заявлением и как с ними связаться тем более.",2
7620,"Все коммунальные услуги, электроэнергия, МГТС, мобильная связь, не выходя из дома - мечта!",2
7621,"Всегда подстраиваются под клиента, принимают к сведению удобную ему дату визита в офис.",2
7623,"Любезный сотрудник банка в отделении на Войковской для начала огорошил меня тем, что предложил проехать в отделение на ст. метро Алексеевская (ага, из-за 1000 рублей по московским пробкам).",0
7624,Выражаю глубокую признательность и уважение сотруднику Сбербанка г. Москвы Диане Юрьевне Г.!,0
7628,"Остался очень доволен обслуживанием в банке, отделение Братиславская.",0
7638,"Сотрудники косячат- свои обязанности выполняют не качественно , а они не причем (телефон же есть там где косячат позвони ЗИН пропесочь их).",2
7639,"Здесь уже было много подобных отзывов, что подтверждает умышленное, злонамеренное, необоснованное затягивание ответа.P.S.",0
7644,Спасибо большое ему за профессионализм и оперативность.,2
7647,"Профессионально и доступно  рассказала все условия ипотечного кредитования, правила досрочного погашения и т.д. На все свои вопросы я получила исчерпывающий ответ. Большое спасибо!",0
7649,"Сходил в магазин за едой, а тебе 5% вернули.",3
7652,"По телефону тоже решить вопрос никто не может,в разных отделах разная информация!!!!",0
7653,"Представитель филиала или директор или кто еще непонятно даже головы не поднимет, даже не узнает, а в чем вообще проблема.",0
7654,"Я не могу ловить окошки времени по записи и искать отделения, где специалисты в чем то разбираются!",0
7655,Почему невозможно проводить операции в ИНТЕРНЕТ-банке в праздники?,2
7657,"Сотрудник банка меня обманула обязав меня купить эту страховку так ещё и сказала что отказать я от неё не имею права и вернуть деньги, хотя я знала что это возможно и спрашивала об этом не раз и к тому же мне не выдали договор о страховке!!!",0
7661,"Потому что банк ссылается на своего подрядчика, а те в свое время нарушают все условия собственной же оферты и не возвращают вам деньги ничем это не аргументируя.",0
7663,"У меня у самого кредитная карта данного банка, для человека, который решил работать на себя не имея первоначального капитала, как было в моем случае, это очень хорошие  решение, тем более банк выдает кредитные карты предпринимателем,  в отличие от остальных банков.",2
7664,"Меня встречает удивленный сотрудник, сообщает мне про 14 рабочих дней и отправляет дожидаться их уведомления по смс или звонка, начинаю ругаться, рассказывать про ускоренный выпуск.",2
7666,"Месяц назад хотел поставить 5, за оперативную и беспроблемную выдачу ипотеки.",0
7668,"12 января 2016 года банкомат по улице проспект ленина 7, салон евросеть забрал мои деньги, когда я клал их на карту и не зачислил ни на карту и не вернул обратно.",2
7669,И ничего нет (Собственных денег - 0!,2
7671,Сам банк мне очень нравится и по моему личному мнению у них лучший интернет-банкинг и хорошие проценты по депозитам.,2
7671,Сам банк мне очень нравится и по моему личному мнению у них лучший интернет-банкинг и хорошие проценты по депозитам.,3
7674,"Ответили - ""в туалет надо ходить дома"", хамским тоном.",0
7675,"Каждое общение с ним оставляет хорошее впечатление о его работе, и о работе самого банка.",0
7676,"Звонок с проверкой мне и моим родителям - был вполне корректным, звонящий - адекватным.",0
7677,"Банк имеет разветвленную сеть офисов в Санкт-Петербурге и даже в некоторых городах Ленинградской области (Гатчина, Кириши, Кексгольм), а также офисы в Нижнем Новгороде, в Калининграде и два офиса в Москве.",2
7678,"Не советую этот банк, со Сбербанком таких проблем не было, и если было, то решалось гораздо быстрей.",0
7680,"Приятный женский голос, в самом начале приятный, на фоне хриплой музыкальной паузы все время упорно и настойчиво сообщал мне о том, что на данный момент все операторы заняты, и, типа, свяжутся с Вами в ближайшее время.",0
7681,Карту сделали достаточно быстро.,2
7685,"И тут начинается самое интересное, нас должны были пригласить на сделку, НО никто это не делает, ""наш"" так называемый менеджер трубки не берет, ни сотовый, ни добавочный, и на почту не отвечает.",0
7686,"Кроме как вымогательство я это оценить не могу, а это уже уголовное дело!",4
7692,Полное игнорирование банком обращенийУважаемые руководители ПАО КБ «Восточный экспресс банк»!,0
7694,В 2017 году из-за подозрительной операции банк заблокировал меня по 115-ФЗ (Не дают пользоваться интернет банком и мобильным банком) в 2020 году без моего ведома закрывают все счета и сотрудник в офисе говорит 'Нам такие клиенты не нужны'  После этого пообщавшись с официальным представителем Альфа банка в соц.сети мне сказали что счет можно открыть.,0
7694,В 2017 году из-за подозрительной операции банк заблокировал меня по 115-ФЗ (Не дают пользоваться интернет банком и мобильным банком) в 2020 году без моего ведома закрывают все счета и сотрудник в офисе говорит 'Нам такие клиенты не нужны'  После этого пообщавшись с официальным представителем Альфа банка в соц.сети мне сказали что счет можно открыть.,4
7696,"Даже не объясняют причины, по которой не выпущена карта!",0
7697,с начала общения прошло полторы недели есть карта и все))).интересный банк.,0
7701,"Поражает некомпетентность сотрудников банка, где когда-то был лучший клиентский сервис.",0
7702,"Согласно им потребитель вправе потребовать предоставления необходимой и достоверной информации об изготовителе (исполнителе, продавце), режиме его работы и реализуемых им товарах (работах, услугах), а изготовитель(исполнитель, продавец) обязан своевременно предоставлять потребителю необходимую и достоверную информацию о товарах (работах, услугах), обеспечивающую возможность их правильного выбора.",0
7703,"Банк абсолютно беспринципно пользуется данными клиента, игнорируя просьбы клиентов.",4
7705,"В итоге я без денег, с просроченным сроком решения вопроса со стороны банка, и игнором службы поддержки.",0
7706,"за это я должна заплатить 2300 руб(услуги нотариуса, с которым сотрудничает Райфайзен банк) и видимо зарплату за целый рабочий день, тк придётся брать день недоплачиваемого отпуска.",2
7708,Вообще работа с клиентом на очень высоком уровне.,0
7709,"Отвратительное качество обслуживания, а попросту ОБМАН!",2
7711,"Потому сам же и позвонил на горячую линию и заказал карту - как думалось - с правильными уже данными, соответствующими тем, что в водительском удостоверении, а - главное - в загранпаспорте.",0
7713,Вообщем просто спасибо вам за ваши удобные и прозрачные продукты и за работу над повышением финансовой грамотности населения в виде Тинькофф журнала.,0
7715,"Первое, что бросилось в глаза - это обстановка в данном отделении, очень удобно, комфортно.",2
7716,"Практически никогда не бывает очередей, даже если в отделении есть отправляющие переводы гости столицы - всё делается за пару минут.3) Близкий к идеальному интернет-банк, что для физ. лиц, что для юр. лиц.",2
7717,Со стороны банка просто невероятная быстрота и адекватность.,2
7719,"Складывается ощущение, что полностью плюнули на продукт и вместе с ним на клиентов.",2
7721,Руководитель менеджера О. А. С-а Так же игнорирует все попытки связаться с ней.,0
7722,всегда позитив и доброжелательность!,2
7723,"Эта функция сэкономила мне немало времени и сил, как при отправке, так и при получении переводов.7.",2
7729,"Сергей, благодарность и только!",0
7730,"Я получила исчерпывающую консультацию о разных типах карт, что помогло мне выбрать наиболее удобный для себя вариант.",0
7731,Это просто неуважение  к клиенту!,0
7735,"Банкоматов много по городу, хорошая программа с Аэрофлотом, очень удобно через интернет.",2
7736,"Женщина вон в окне специально для Вас вышла из другого отделения, чтоб поработать, т.к. все в отпуске, а Вы…- Извините, меня мало интересует Ваши графики отпусков!- И вообще деньги мы не можем Вам положить, Вам надо в филиал!- Мне кажется, у Вас совершенно безобразно организована работа, я как клиент Вам это констатирую!- Молодой человек!",2
7737,Все сотрудники работают отвратительно.,0
7739,Который я смог полностью погасить в кротчайшие сроки так как был грамотно составленны платежи .,2
7740,"Очень разочарован сотрудничеством с данным банком, подумываю об открытии расчетного счета в другом банке.",2
7741,Организовали банкиры сей процесс - тоже молодцы.,0
7742,"Хотя я очень избирательный и  критичный клиент, с аналитическим мышлением, и в других банках многое не устраивает, но здесь все подходит и всем довольна,   а именно: предложения и % по вкладам, программы по карте Халва, которые постоянно обновляются и интересны сами по себе;сотрудники банка доброжелательны, работают быстро, четко, профессионально, атмосфера в отделениях (метро Войковская, ранее метро Аэропорт) спокойная и деловая, телефон горячей линии отвечает сразу, без длительных ожиданий, как в других банках, операторы вежливы и работают грамотно.30 января 2021 года обратилась с Обращением в офис банка на Войковской, и уже через 2 рабочих дня получила положительный ответ. Поэтому смело могу поставить банку оценку 5 и рекомендовать другим клиентам этот банк как надежный.",3
7742,"Хотя я очень избирательный и  критичный клиент, с аналитическим мышлением, и в других банках многое не устраивает, но здесь все подходит и всем довольна,   а именно: предложения и % по вкладам, программы по карте Халва, которые постоянно обновляются и интересны сами по себе;сотрудники банка доброжелательны, работают быстро, четко, профессионально, атмосфера в отделениях (метро Войковская, ранее метро Аэропорт) спокойная и деловая, телефон горячей линии отвечает сразу, без длительных ожиданий, как в других банках, операторы вежливы и работают грамотно.30 января 2021 года обратилась с Обращением в офис банка на Войковской, и уже через 2 рабочих дня получила положительный ответ. Поэтому смело могу поставить банку оценку 5 и рекомендовать другим клиентам этот банк как надежный.",0
7744,"Такое впечатление, что сотрудникам, рассматривающим заявки и принимающим решения просто наплевать на клиентов.",0
7745,"И очень не рекомендую никому с ВТБ иметь дело - если только очень хочется почувствовать себя недочеловеком, даже имея пакет ""Привилегия"".",2
7746,Ужасное отношение к новым клиентам просто поражает!,0
7751,"Судя по недавним отзывам, я не первый, с кем произошла эта ситуация, тем не менее, не поленюсь описать ее еще раз, чтоб было понятно, что случай не единичный.",0
7753,Моя искренняя благодарность Анне и пожелания успехов.,2
7756,Хочу еще раз отметить профессионализм Лилии и ее чуткое отношение к клиенту.,2
7757,"Пришел назначенный клиент 9:50, его попросили подождать, через 5 минут меня проводили обратно в зал заполнять анкету, любезно, сказав, что если не знаю, как заполнять что-то надо оставить и мне помогут.",0
7758,Спасибо за такое обслуживание клиентов и за оперативные ответы на просьбы!,0
7760,"Хочу выразить благодарность руководству и сотрудникам Совкомбанка за индивидуальный подход и внимание ко мне, как к клиенту банка.",2
7763,"Интернет банк заработал сразу, написал заявление на подключение, пришёл домой через два часа - уже подключен.",2
7765,При чем эти услуги включаются в договор и специалисты обманным путем обнадеживают клиентов в без проблемном отключении позвонив по телефону в банк!!!,0
7766,Отвратительная работа сбербанка в лице г-жи Кравч-нко.,0
7769,После обращения через сайт 09 апреля не дождавшись ответа от банка в положенные 5 дней (они обозначены в уведомлении банка о принятии моей заявки) я позвонил 15.04 в колл-центр. Записи разговоров можете легко найти.,0
7770,"Программисты проверили и сказали, что типа на нем вообще нет никаких сертификатов, он типа пустой, хотя я за 10 минут до посещения банка я подписал одну платежку в интернет банке и и отправил ее.",0
7771,"""На данный момент у нас система во всём банке не работает, ничем помочь не можем.",2
7772,"Нас уже 5 на 5, Один из клиентов просит жалобную книгу, которую получает.",0
7773,"Я 12 мая 2017 г. в 15-55, обратилась в Доп.офис Сбербанка по адресу: Калужская обл., гор. Сосенский, ул. Космонавтов д.1.",0
7774,"Они вошли в мою ситуацию, не отвернулись от меня, и сделали невозможное, чем спасли мою семью от голодного существования - в прямом смысле слова !!!",2
7775,"Очень надеюсь, что руководство Сбербанка обратит внимание на данный отзыв и будет внимательнее подходить к выбору персонала на руководящие должности, т.к. ассистент клиентского отдела знает и готова помочь больше, чем руководитель.",0
7776,"А так, нас кормят завтраками, а клиенты наши недовольны, что до сих пор не могут расплатиться  картами!",0
7777,"Второй раз обман... Ау, Промсвязьбанк, где ваши работники?",0
7778,"Огромный ""Почта банк"" дозвониться не может... никак, вообще.",0
7779,"Неадекватные работники, которых видимо,не обучают вообще!!!",0
7780,Спасибо за профессиональную обслуживание.,2
7783,"Почему в банке как Сбербанк если заполняешь заявку онлайн и указываешь что страхование тебе не нужно никто не навязывает никакие услуги и спокойно выдают кредит , в этом же банки ВТБ хотят обмануть людей с ссылаясь что горячая линия не владеет данной информацией и не знает всех условий !",0
7791,"Открытие справилось в тот же день за 10 минут, без проблем.",2
7792,"Очень понравилось общение, вежливые грамотные специалисты, правильно описали мою проблему.",2
7795,"Часть из них была компенсирована в рубли, часть осталась в виде баллов.",2
7796,"Пишут всякую чушь, в том числе о том, что по электронному адресу информацию не высылают.",0
7797,"Со мной обращалась Кристина, ей особое спасибо за внимательность и заботу!!!",0
7798,Впредь также нас оповещайте о новых интересных услугах.,0
7801,Никого регламента рассмотрения обращения нет !!,2
7804,"Тут же на следующий день связалась со мной девица из банка с отдела сопровождения долгов и начала откровенно мне хамить и унижать на словах, называть меня жуликом и мошенником, человеком не образованным и так далее, в общем, вступила в открытый конфликт и требовала немедленного погашения потребительского кредита.",0
7806,"Сотрудники, отвечающие на вопросы в чате абсолютно не компетентные ребята.",2
7807,"Да и вообще, стыдно должно быть тем людям за то, что работая в такой огромной организации они не могут обеспечить должный сервис свои клиентам.",2
7809,"Не проработав и месяца,уходим из этого банка,ужасное обслуживание и эквайринг!!!",2
7814,"До сих пор нам не дали, ни договора ни каких документов.",0
7815,"Не вижу, за что хотя бы 2 поставить, сервис на 1!",0
7817,"На что она наградила меня таким взглядом... Честно сказать, все это описать нет слов, бардак полнейший.",2
7817,"На что она наградила меня таким взглядом... Честно сказать, все это описать нет слов, бардак полнейший.",0
7819,"ГЛАВНОЕТем, кто дочитал, поясняю: оценка 5 не за то, что меня обслужили в 21:00, а за то, что в отделении я встретил приветливых сотрудников, которые и шутили и даже подгоняли нерасторопных клиентов, чтоб очередь поскорее шла.",2
7820,"Жалобу принять отказались, сказали - это все москвичи виноваты, что дезинформируют людей.",0
7826,При наличии клиентов в зале или невозможности ответить на звонок - обязательно перезванивает.,0
7830,"В банке с цифрами 24 на конце лет десять назад управляющая даже не дожидаясь, когда большое количества посетителей возропщет, сама села за свободное рабочее место и начала в порядке очереди принимать посетителей.",0
7835,"В ход идут абсолютно любые способы запугивания и шантажа: угрозы начать звонить на места работы, знакомым, родственникам, обход соседей, порча имущества, уголовное преследование(якобы я мошенник) и личные оскорбления с угрозами здоровью(да, один коллектор предлагал ""порешать"" с ним лично).",0
7837,"Естественно, как только я дозваниваюсь до оператора, он получает все с лихвой и никакого нормального общения быть не может, потому что я потратил уйму своего времени на какой-то идиотизм.",0
7838,Плохая организация работ в сбербанке в чистом виде.,2
7841,Сотрудники банка как в офисе так и по горячей линии сработали на все 100%.,0
7843,Лучше не дойти до их службы клиентов... а ещё лучше просто не быть их клиентом.,0
7844,И вот за целый год всё было просто замечательно - на все мои вопросы всегда были и квалифицировано давались ответы (по телефону и в отделении).,0
7851,"Пусть виновные будут наказаны, о банке соответственно сложилось плохое мнение, Что там в наглую дурят людей!",0
7855,"На протяжении 6 лет обслуживания в данном банке столкнулась с некомпетентными и неквалифицированными сотрудниками, не умеющими решить проблему клиента.",0
7857,"Нервы, конечно, на пределе - считает супруга очень хорошо, с головой все в порядке, помнит, что вместо 5 000  несколько купюр по 1 000, дала два раза по 5 000  тысячи.",2
7858,Я пришел в отделение на Ярослава Гашека 5 в СПб. Прождал в очереди полтора часа.,2
7859,"Удивляет бездействие Управляющего, который позволяет в своем офисе такой бардак, не влияет на сотрудников, не пытается уладить конфликтную ситуацию.",0
7861,"В итоге, хочется отметить жуткий непрофессионализм менеджеров, срыв собственных сроков рассмотрения (14 рабочих дней, а в итоге -  месяц), требование обновлений документов в период пандемии, когда получить какие-либо справки у работодателя крайне сложно.",2
7865,"Банк пошел мне навстречу, за что выражаю благодарность ему и сотрудникам:))",0
7868,"Но старушка не успокоилась, пока не получила четвёртый и окончательный ответ, в котором с ужасом прочитала: «Наличие доверенности не даёт Вам права использовать банковскую карту Вашего супруга и подключённые к указанной карте услуги… При обнаружении фактов нарушения конфиденциальности использования перечисленных услуг Банк вправе заблокировать доступ к ним».",4
7877,После чего еще за 5 минут как то сразу всех быстро обслужили.,0
7882,"Очень неприятный осадок, получается, что за косяки сотрудников банка я оказалась крайней.",0
7884,Сотрудники банка поголовно безграмотные и не обучены вежливости.,2
7892,"Прошу аннулировать заявку, депремировать сотрудника, которые по сути обманывает клиентов, обновить информацию во всех БКИ в части подачи заявки на продукт и одобрения данного продукта.",0
7893,"Просто удерживают средства, лгут бессовестно.",2
7894,"Обслуживание очень понравилось, девушка на Ленинском подробно проконсультировала как и когда получить ПТС.",0
7895,Выражаю признательность сотрудникам БинБанка за оперативность в работе и внимательность к клиентам.,2
7896,"Еще понравилось, что сотрудник дала время на детальное изучение условий договора.",0
7908,"Все операции легко видны, удобно делать шаблоны и переводы.",2
7909,"Сотрудница Наталья чуткий внимательный человек, с пониманием отнеслась ко мне и оперативно помогла в данной ситуации, в результате чего вопрос был решен положительно.",2
7910,"Вобщем, я доволен своими взаимоотношениями с банком чуть более чем полностью.",0
7912,"Все верно, обслуживание бесплатное с течение года.",2
7913,"Тем не менее, общий фон проведенной сделки положительный, сервис как всегда - на высоте.",2
7918,"Во-вторых, приятно общаться с сотрудниками: всегда доброжелательное отношение, стараются проинформировать об изменениях и посоветовать лучшую стратегию.",0
7919,"Относительно недавно завел дебетовую карту, но уже успел оценить повышенный кэшбек – ТБ на удивление щедро отсыпал категории в супермаркетах, ресторанах и дом-ремонт.",3
7921,Представителям банка огромное спасибо.,2
7922,"Безучастный вид операционистки и её уверенность в том, что ничего сделать нельзя, банк не будет даже объяснять свои действия, просто заставили меня принять решение снять деньги и подать жалобу в Центробанк, благо, что сделать это просто.",2
7923,"Из разговора с ""Марией Михайловной"" мне стало известно, что я ""чего-то боюсь"", ""покрываю мошенников"", а значит и ""сам участвую"" ""прописан в коммунальной квартире"", что ""придётся написать заявление"" на меня (видимо, по факту мошенничества) и т.п. Следует заметить, что то обстоятельство, что ""Мария Ивановна"" из Тинькофф Банка, было донесено до моего сведения крайне неохотно.",0
7923,"Из разговора с ""Марией Михайловной"" мне стало известно, что я ""чего-то боюсь"", ""покрываю мошенников"", а значит и ""сам участвую"" ""прописан в коммунальной квартире"", что ""придётся написать заявление"" на меня (видимо, по факту мошенничества) и т.п. Следует заметить, что то обстоятельство, что ""Мария Ивановна"" из Тинькофф Банка, было донесено до моего сведения крайне неохотно.",4
7926,"Самоуправство, беспредел, прикрываются 115ф/з, это что за дела?",2
7927,"Не рекомендую связываться, а те кто решится помните -вам пытаются залезть в карман, продав воздух в виде страховок, услуг и смс информированием, и просматривайте все страницы договора под микроскопом.",2
7931,Хороший навар в 25000% от продажи листа бумаги.,3
7934,"Кроме того, сотрудники, занимающиеся консультированием клиентов, вводят их в заблуждение, чем ставят своих клиентов в крайне затруднительное положение, я, например, жду курьера и мне нужно было хотя бы приблизительно знать, когда деньги появятся на карте и ситуация, когда сначала один консультант говорит, что деньги будут до 12:00, а через час другой уже говорит, что в течение дня, она очень неприятная.",2
7936,"Всем рекомендую, если это возможно, сторонитесь этого банка.",0
7937,"Я пишу этот отзыв не для Ситибанка, а для людей, которые как и я в шоке от уровня некомпетентности сотрудников тех.",2
7942,Это как можно не отвечать на запросы?,0
7943,Но особенно меня порадовал подарок на день рождения!,2
7945,"Вежливые и отзывчивые сотрудники молниеносно нашли решение, отослали мне в страну новые карты совершенно!!!",0
